발행인,시도,시구,동읍,상세주소,사업용도,사업용도세부종목,브릿지론/본PF,신용보강기관명,신용보강기관종류,신용보강형태,매입보장/확약,대출약정규모,분양률,문장
리치게이트대명,대구광역시,남구,대명동,2301-2,공동주택,아파트.리테일.공동주택,0,주택도시보증공사.신한은행.신한은행,공공.은행.은행,-.매입.-,매입확약,1100,-, 대명3동뉴타운주택재개발정비사업조합의 대출채무(대출원금)에 대한 주택도시보증공사의 PF 대출보증 . (주)신한은행의 유동화증권 및 신용공여성 기업어음 매입보장 . (주)신한은행의 유동성 공여(한도 8억원)
리치게이트대명,대구광역시,남구,대명동,2301-2,공동주택,아파트.리테일.공동주택,0,주택도시보증공사.신한은행.신한은행,공공.은행.은행,-.매입.-,매입확약,1100,-, 대명3동뉴타운주택재개발정비사업조합의 대출채무(대출원금)에 대한 주택도시보증공사의 PF 대출보증 . (주)신한은행의 유동화증권 및 신용공여성 기업어음 매입보장 . (주)신한은행의 유동성 공여(한도 8억원)
리치게이트대명,대구광역시,남구,대명동,2301-2,공동주택,아파트.리테일.공동주택,0,주택도시보증공사.신한은행.신한은행,공공.은행.은행,-.매입.-,매입확약,1100,-, 대명3동뉴타운주택재개발정비사업조합의 대출채무(대출원금)에 대한 주택도시보증공사의 PF 대출보증 . (주)신한은행의 유동화증권 및 신용공여성 기업어음 매입보장 . (주)신한은행의 유동성 공여(한도 8억원)
리치게이트대명,대구광역시,남구,대명동,2301-2,공동주택,아파트.리테일.공동주택,0,주택도시보증공사.신한은행.신한은행,공공.은행.은행,-.매입.-,매입확약,1100,-, 대명3동뉴타운주택재개발정비사업조합의 대출채무(대출원금)에 대한 주택도시보증공사의 PF 대출보증 . (주)신한은행의 유동화증권 및 신용공여성 기업어음 매입보장 . (주)신한은행의 유동성 공여(한도 8억원)
리치게이트신반포,서울특별시,서초구,잠원동,65-33번지,공동주택,아파트.공동주택,본 PF,신한은행,은행,매입,매입확약,485,-, ㈜신한은행의 신용공여어음 매입 유동화증권 매입 및 유동성공여 의무로 통제 리
리치게이트신반포,서울특별시,서초구,잠원동,65-33번지,공동주택,아파트.공동주택,본 PF,신한은행,은행,매입,매입확약,485,-, ㈜신한은행의 신용공여어음 매입 유동화증권 매입 및 유동성공여 의무로 통제 리
리치게이트신반포,서울특별시,서초구,잠원동,65-33번지,공동주택,아파트.공동주택,본 PF,신한은행,은행,매입,매입확약,485,-, ㈜신한은행의 신용공여어음 매입 유동화증권 매입 및 유동성공여 의무로 통제 리
신한지아이비화성,경기도,화성시,팔탄면,해창리,산업시설,물류,0,신한은행.신한은행,은행.은행,매입.-,매입확약,860,-, ㈜신한은행의 신용공여성 유동화증권 매입보장 약정 . ㈜신한은행의 유동성공여약정(한도 2억원)
신한지아이비화성,경기도,화성시,팔탄면,해창리,산업시설,물류,0,신한은행.신한은행,은행.은행,매입.-,매입확약,860,-, ㈜신한은행의 신용공여성 유동화증권 매입보장 약정 . ㈜신한은행의 유동성공여약정(한도 2억원)
신한지아이비화성,경기도,화성시,팔탄면,해창리,산업시설,물류,0,신한은행.신한은행,은행.은행,매입.-,매입확약,860,-, ㈜신한은행의 신용공여성 유동화증권 매입보장 약정 . ㈜신한은행의 유동성공여약정(한도 2억원)
신한지아이비화성,경기도,화성시,팔탄면,해창리,산업시설,물류,0,신한은행.신한은행,은행.은행,매입.-,매입확약,860,-, ㈜신한은행의 신용공여성 유동화증권 매입보장 약정 . ㈜신한은행의 유동성공여약정(한도 2억원)
신한지아이비화성,경기도,화성시,팔탄면,해창리,산업시설,물류,0,신한은행.신한은행,은행.은행,매입.-,매입확약,860,-, ㈜신한은행의 신용공여성 유동화증권 매입보장 약정 . ㈜신한은행의 유동성공여약정(한도 2억원)
신한지아이비화성,경기도,화성시,팔탄면,해창리,산업시설,물류,0,신한은행.신한은행,은행.은행,매입.-,매입확약,860,-, ㈜신한은행의 신용공여성 유동화증권 매입보장 약정 . ㈜신한은행의 유동성공여약정(한도 2억원)
엔에이치상인천,인천광역시,남동구,간석1동,상인천초교,공동주택,아파트.공동주택,본 PF,농협은행,은행,매입,매입확약,-,-, 농협은행㈜의 유동화증권 매입보장 약정 엔
엔에이치상인천,인천광역시,남동구,간석1동,상인천초교,공동주택,아파트.공동주택,본 PF,농협은행,은행,매입,매입확약,-,-, 농협은행㈜의 유동화증권 매입보장 약정 엔
엔에이치상인천,인천광역시,남동구,간석1동,상인천초교,공동주택,아파트.공동주택,본 PF,농협은행,은행,매입,매입확약,-,-, 농협은행㈜의 유동화증권 매입보장 약정 엔
엔에이치상인천,인천광역시,남동구,간석1동,상인천초교,공동주택,아파트.공동주택,본 PF,농협은행,은행,매입,매입확약,-,-, 농협은행㈜의 유동화증권 매입보장 약정 엔
엔에이치상인천,인천광역시,남동구,간석1동,상인천초교,공동주택,아파트.공동주택,본 PF,농협은행,은행,매입,매입확약,-,-, 농협은행㈜의 유동화증권 매입보장 약정 엔
엔에이치상인천,인천광역시,남동구,간석1동,상인천초교,공동주택,아파트.공동주택,본 PF,농협은행,은행,매입,매입확약,-,-, 농협은행㈜의 유동화증권 매입보장 약정 엔
리치게이트십정,인천광역시,부평구,십정동,432번지,공동주택,아파트,본 PF,신한은행/중소기업은행.신한은행.주택도시보증공사,은행/은행.은행.공공,매입.-.-,매입확약,-,-,(주)신한은행 및 중소기업은행의 신용공여성 기업어음 매입보장(매입보장비율(449: 650) .(주)신한은행의 유동성 공여의무(한도 4억원).주택도시보증공사의 PF 대출보증
리치게이트십정,인천광역시,부평구,십정동,432번지,공동주택,아파트,본 PF,신한은행/중소기업은행.신한은행.주택도시보증공사,은행/은행.은행.공공,매입.-.-,매입확약,-,-,(주)신한은행 및 중소기업은행의 신용공여성 기업어음 매입보장(매입보장비율(449: 650) .(주)신한은행의 유동성 공여의무(한도 4억원).주택도시보증공사의 PF 대출보증
지아이비남사,경기도,용인시,처인구,남사면,산업시설,물류,0,신한은행.신한은행,은행.은행,매입.-,매입확약,760,-, ㈜신한은행의 신용공여성 유동화증권 매입보장 . ㈜신한은행의 유동성 공여(한도: 3억원)지아이비남사(주) 본평가평가일:2022.09.27안동민 책임연구원02-368-5349dmahn@korearatings.com김정동 수석연구원02-368-5601jdkim@korearatings.com김종각 실장02-368-5616wewe@korearatings.com지아이비남사(주) www.rating.co.kr  2
지아이비남사,경기도,용인시,처인구,남사면,산업시설,물류,0,신한은행.신한은행,은행.은행,매입.-,매입확약,760,-, ㈜신한은행의 신용공여성 유동화증권 매입보장 . ㈜신한은행의 유동성 공여(한도: 3억원)지아이비남사(주) 본평가평가일:2022.09.27안동민 책임연구원02-368-5349dmahn@korearatings.com김정동 수석연구원02-368-5601jdkim@korearatings.com김종각 실장02-368-5616wewe@korearatings.com지아이비남사(주) www.rating.co.kr  2
지아이비남사,경기도,용인시,처인구,남사면,산업시설,물류,0,신한은행.신한은행,은행.은행,매입.-,매입확약,760,-, ㈜신한은행의 신용공여성 유동화증권 매입보장 . ㈜신한은행의 유동성 공여(한도: 3억원)지아이비남사(주) 본평가평가일:2022.09.27안동민 책임연구원02-368-5349dmahn@korearatings.com김정동 수석연구원02-368-5601jdkim@korearatings.com김종각 실장02-368-5616wewe@korearatings.com지아이비남사(주) www.rating.co.kr  2
지아이비도안,대전광역시,유성구,용계동,673-1번지,오피스텔,오피스텔.오피스,0,신한은행.신한은행,은행.은행,매입.-,매입확약,-,100, ㈜신한은행의 신용공여성 유동화증권 매입보장 . ㈜신한은행의 유동성공여(한도 3억원
지아이비도안,대전광역시,유성구,용계동,673-1번지,오피스텔,오피스텔.오피스,0,신한은행.신한은행,은행.은행,매입.-,매입확약,-,100, ㈜신한은행의 신용공여성 유동화증권 매입보장 . ㈜신한은행의 유동성공여(한도 3억원
지아이비도안,대전광역시,유성구,용계동,673-1번지,오피스텔,오피스텔.오피스,0,신한은행.신한은행,은행.은행,매입.-,매입확약,-,100, ㈜신한은행의 신용공여성 유동화증권 매입보장 . ㈜신한은행의 유동성공여(한도 3억원
지아이비도안,대전광역시,유성구,용계동,673-1번지,오피스텔,오피스텔.오피스,0,신한은행.신한은행,은행.은행,매입.-,매입확약,-,100, ㈜신한은행의 신용공여성 유동화증권 매입보장 . ㈜신한은행의 유동성공여(한도 3억원
지아이비수표,서울특별시,중구,입정동,237번지,상업업무,오피스,0,신한은행,은행,매입,매입확약,8900,-, ㈜신한은행의 신용공여성 유동화증권 매입보장
지아이비해운대,부산광역시,해운대구,우동,638-1번지,오피스텔,오피스텔.리테일.오피스,0,신한은행.신한은행,은행.은행,매입.-,매입확약,610,-, ㈜신한은행의 신용공여성 유동화증권 매입보장 . ㈜신한은행의 유동성공여(한도 3억원)
지아이비해운대,부산광역시,해운대구,우동,638-1번지,오피스텔,오피스텔.리테일.오피스,0,신한은행.신한은행,은행.은행,매입.-,매입확약,610,-, ㈜신한은행의 신용공여성 유동화증권 매입보장 . ㈜신한은행의 유동성공여(한도 3억원)
지아이비해운대,부산광역시,해운대구,우동,638-1번지,오피스텔,오피스텔.리테일.오피스,0,신한은행.신한은행,은행.은행,매입.-,매입확약,610,-, ㈜신한은행의 신용공여성 유동화증권 매입보장 . ㈜신한은행의 유동성공여(한도 3억원)
지아이비해운대,부산광역시,해운대구,우동,638-1번지,오피스텔,오피스텔.리테일.오피스,0,신한은행.신한은행,은행.은행,매입.-,매입확약,610,-, ㈜신한은행의 신용공여성 유동화증권 매입보장 . ㈜신한은행의 유동성공여(한도 3억원)
지아이비해운대,부산광역시,해운대구,우동,638-1번지,오피스텔,오피스텔.리테일.오피스,0,신한은행.신한은행,은행.은행,매입.-,매입확약,610,-, ㈜신한은행의 신용공여성 유동화증권 매입보장 . ㈜신한은행의 유동성공여(한도 3억원)
지아이비해운대,부산광역시,해운대구,우동,638-1번지,오피스텔,오피스텔.리테일.오피스,0,신한은행.신한은행,은행.은행,매입.-,매입확약,610,-, ㈜신한은행의 신용공여성 유동화증권 매입보장 . ㈜신한은행의 유동성공여(한도 3억원)
지아이비해운대,부산광역시,해운대구,우동,638-1번지,오피스텔,오피스텔.리테일.오피스,0,신한은행.신한은행,은행.은행,매입.-,매입확약,610,-, ㈜신한은행의 신용공여성 유동화증권 매입보장 . ㈜신한은행의 유동성공여(한도 3억원)
케이비프라이드제이차,경기도,화성시,봉담읍,내리지구,공동주택,공동주택,0,국민은행,은행,매입,매입확약,1650,100.0, ㈜국민은행의 유동화증권 매입보장 및 신용공
케이비프라이드제이차,경기도,화성시,봉담읍,내리지구,공동주택,공동주택,0,국민은행,은행,매입,매입확약,1650,100.0, ㈜국민은행의 유동화증권 매입보장 및 신용공
케이비프라이드제이차,경기도,화성시,봉담읍,내리지구,공동주택,공동주택,0,국민은행,은행,매입,매입확약,1650,100.0, ㈜국민은행의 유동화증권 매입보장 및 신용공
케이비프라이드제이차,경기도,화성시,봉담읍,내리지구,공동주택,공동주택,0,국민은행,은행,매입,매입확약,1650,100.0, ㈜국민은행의 유동화증권 매입보장 및 신용공
케이비프라이드제이차,경기도,화성시,봉담읍,내리지구,공동주택,공동주택,0,국민은행,은행,매입,매입확약,1650,100.0, ㈜국민은행의 유동화증권 매입보장 및 신용공
리치게이트학익,인천광역시,미추홀구,학익동,290-1번지,공동주택,아파트.리테일.공동주택,0,주택도시보증공사.신한은행/중소기업은행.신한은행,공공.은행/은행.은행,-.매입.-,매입확약,-,-, 학익4주택재개발정비사업조합의 대출채무(대출원금)에 대한 주택도시보증공사의 PF대출보증  . (주)신한은행 및 중소기업은행의 신용공여성 유동화증권 매입보장 . (주)신한은행의 유동성공여(한도 4억원)
리치게이트학익,인천광역시,미추홀구,학익동,290-1번지,공동주택,아파트.리테일.공동주택,0,주택도시보증공사.신한은행/중소기업은행.신한은행,공공.은행/은행.은행,-.매입.-,매입확약,-,-, 학익4주택재개발정비사업조합의 대출채무(대출원금)에 대한 주택도시보증공사의 PF대출보증  . (주)신한은행 및 중소기업은행의 신용공여성 유동화증권 매입보장 . (주)신한은행의 유동성공여(한도 4억원)
하이브엘제일차,경기도,용인시,기흥구,보정동,공동주택,리테일.공동주택,0,하나은행.하나은행,은행.은행,매입.이자율,매입확약,2847,-, (주)하나은행의 유동화증권 매입보장 및 신용공여 ⚫. SPC가 (주)하나은행과 체결한 유동성공여약정 및 이자율 스왑계약  
하이브엘제일차,경기도,용인시,기흥구,보정동,공동주택,리테일.공동주택,0,하나은행.하나은행,은행.은행,매입.이자율,매입확약,2847,-, (주)하나은행의 유동화증권 매입보장 및 신용공여 ⚫. SPC가 (주)하나은행과 체결한 유동성공여약정 및 이자율 스왑계약  
하이브엘제일차,경기도,용인시,기흥구,보정동,공동주택,리테일.공동주택,0,하나은행.하나은행,은행.은행,매입.이자율,매입확약,2847,-, (주)하나은행의 유동화증권 매입보장 및 신용공여 ⚫. SPC가 (주)하나은행과 체결한 유동성공여약정 및 이자율 스왑계약  
하이브엘제일차,경기도,용인시,기흥구,보정동,공동주택,리테일.공동주택,0,하나은행.하나은행,은행.은행,매입.이자율,매입확약,2847,-, (주)하나은행의 유동화증권 매입보장 및 신용공여 ⚫. SPC가 (주)하나은행과 체결한 유동성공여약정 및 이자율 스왑계약  
하이브엘제일차,경기도,용인시,기흥구,보정동,공동주택,리테일.공동주택,0,하나은행.하나은행,은행.은행,매입.이자율,매입확약,2847,-, (주)하나은행의 유동화증권 매입보장 및 신용공여 ⚫. SPC가 (주)하나은행과 체결한 유동성공여약정 및 이자율 스왑계약  
하이브엘제일차,경기도,용인시,기흥구,보정동,공동주택,리테일.공동주택,0,하나은행.하나은행,은행.은행,매입.이자율,매입확약,2847,-, (주)하나은행의 유동화증권 매입보장 및 신용공여 ⚫. SPC가 (주)하나은행과 체결한 유동성공여약정 및 이자율 스왑계약  
디아이에프와이,서울특별시,용산구,이태원동,34-69번지,상업업무,호텔,본 PF,현대건설,시공사,채무인수/자금보충,매입확약,1687,-, 현대건설(주)의 자금보충(미이행시 채무인수) 의무
디아이에프와이,서울특별시,용산구,이태원동,34-69번지,상업업무,호텔,본 PF,현대건설,시공사,채무인수/자금보충,매입확약,1687,-, 현대건설(주)의 자금보충(미이행시 채무인수) 의무
디아이에프와이,서울특별시,용산구,이태원동,34-69번지,상업업무,호텔,본 PF,현대건설,시공사,채무인수/자금보충,매입확약,1687,-, 현대건설(주)의 자금보충(미이행시 채무인수) 의무
디아이에프와이,서울특별시,용산구,이태원동,34-69번지,상업업무,호텔,본 PF,현대건설,시공사,채무인수/자금보충,매입확약,1687,-, 현대건설(주)의 자금보충(미이행시 채무인수) 의무
디아이에프와이,서울특별시,용산구,이태원동,34-69번지,상업업무,호텔,본 PF,현대건설,시공사,채무인수/자금보충,매입확약,1687,-, 현대건설(주)의 자금보충(미이행시 채무인수) 의무
디아이에프와이,서울특별시,용산구,이태원동,34-69번지,상업업무,호텔,본 PF,현대건설,시공사,채무인수/자금보충,매입확약,1687,-, 현대건설(주)의 자금보충(미이행시 채무인수) 의무
마린씨티제일차,경상남도,창원시,마산합포구,서항가포,레저시설,테마파크,0,경남은행,은행,채권매입/자금보충,매입확약,994,88.04, (주)경남은행의 대출채권 매입 및 자금보충 의무 
마린씨티제일차,경상남도,창원시,마산합포구,서항가포,레저시설,테마파크,0,경남은행,은행,채권매입/자금보충,매입확약,994,88.04, (주)경남은행의 대출채권 매입 및 자금보충 의무 
마린씨티제일차,경상남도,창원시,마산합포구,서항가포,레저시설,테마파크,0,경남은행,은행,채권매입/자금보충,매입확약,994,88.04, (주)경남은행의 대출채권 매입 및 자금보충 의무 
마린씨티제일차,경상남도,창원시,마산합포구,서항가포,레저시설,테마파크,0,경남은행,은행,채권매입/자금보충,매입확약,994,88.04, (주)경남은행의 대출채권 매입 및 자금보충 의무 
마린씨티제일차,경상남도,창원시,마산합포구,서항가포,레저시설,테마파크,0,경남은행,은행,채권매입/자금보충,매입확약,994,88.04, (주)경남은행의 대출채권 매입 및 자금보충 의무 
마린씨티제일차,경상남도,창원시,마산합포구,서항가포,레저시설,테마파크,0,경남은행,은행,채권매입/자금보충,매입확약,994,88.04, (주)경남은행의 대출채권 매입 및 자금보충 의무 
마린씨티제일차,경상남도,창원시,마산합포구,서항가포,레저시설,테마파크,0,경남은행,은행,채권매입/자금보충,매입확약,994,88.04, (주)경남은행의 대출채권 매입 및 자금보충 의무 
마린씨티제일차,경상남도,창원시,마산합포구,서항가포,레저시설,테마파크,0,경남은행,은행,채권매입/자금보충,매입확약,994,88.04, (주)경남은행의 대출채권 매입 및 자금보충 의무 
마린씨티제일차,경상남도,창원시,마산합포구,서항가포,레저시설,테마파크,0,경남은행,은행,채권매입/자금보충,매입확약,994,88.04, (주)경남은행의 대출채권 매입 및 자금보충 의무 
마린씨티제일차,경상남도,창원시,마산합포구,서항가포,레저시설,테마파크,0,경남은행,은행,채권매입/자금보충,매입확약,994,88.04, (주)경남은행의 대출채권 매입 및 자금보충 의무 
마린씨티제일차,경상남도,창원시,마산합포구,서항가포,레저시설,테마파크,0,경남은행,은행,채권매입/자금보충,매입확약,994,88.04, (주)경남은행의 대출채권 매입 및 자금보충 의무 
마린씨티제일차,경상남도,창원시,마산합포구,서항가포,레저시설,테마파크,0,경남은행,은행,채권매입/자금보충,매입확약,994,88.04, (주)경남은행의 대출채권 매입 및 자금보충 의무 
비엔케이썸제칠차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF,현대건설,시공사,연대보증,-,-,-, 현대건설(주)의 연대보증
비엔케이썸제칠차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF,현대건설,시공사,연대보증,-,-,-, 현대건설(주)의 연대보증
비엔케이썸제칠차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF,현대건설,시공사,연대보증,-,-,-, 현대건설(주)의 연대보증
비엔케이썸제칠차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF,현대건설,시공사,연대보증,-,-,-, 현대건설(주)의 연대보증
비엔케이썸제칠차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF,현대건설,시공사,연대보증,-,-,-, 현대건설(주)의 연대보증
비엔케이썸제칠차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF,현대건설,시공사,연대보증,-,-,-, 현대건설(주)의 연대보증
비엔케이썸제칠차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF,현대건설,시공사,연대보증,-,-,-, 현대건설(주)의 연대보증
비엔케이썸제칠차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF,현대건설,시공사,연대보증,-,-,-, 현대건설(주)의 연대보증
비엔케이썸제칠차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF,현대건설,시공사,연대보증,-,-,-, 현대건설(주)의 연대보증
비엔케이썸제칠차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF,현대건설,시공사,연대보증,-,-,-, 현대건설(주)의 연대보증
송도더스카이제일차,인천광역시,연수구,송도동,30-2번지에,공동주택,오피스텔.오피스.주상복합.공동주택.리테일,0,하나은행.하나은행.하나은행/하나은행과,은행.은행.은행/은행,매입.-.이자율,매입확약,1100,-, (주)하나은행의 유동화증권 매입보장 및 신용공여 . (주)하나은행의 유동성공여(한도 28억원) . (주)하나은행과의 이자율스왑계약
송도더스카이제일차,인천광역시,연수구,송도동,30-2번지에,공동주택,오피스텔.오피스.주상복합.공동주택.리테일,0,하나은행.하나은행.하나은행/하나은행과,은행.은행.은행/은행,매입.-.이자율,매입확약,1100,-, (주)하나은행의 유동화증권 매입보장 및 신용공여 . (주)하나은행의 유동성공여(한도 28억원) . (주)하나은행과의 이자율스왑계약
송도더스카이제일차,인천광역시,연수구,송도동,30-2번지에,공동주택,오피스텔.오피스.주상복합.공동주택.리테일,0,하나은행.하나은행.하나은행/하나은행과,은행.은행.은행/은행,매입.-.이자율,매입확약,1100,-, (주)하나은행의 유동화증권 매입보장 및 신용공여 . (주)하나은행의 유동성공여(한도 28억원) . (주)하나은행과의 이자율스왑계약
송도더스카이제일차,인천광역시,연수구,송도동,30-2번지에,공동주택,오피스텔.오피스.주상복합.공동주택.리테일,0,하나은행.하나은행.하나은행/하나은행과,은행.은행.은행/은행,매입.-.이자율,매입확약,1100,-, (주)하나은행의 유동화증권 매입보장 및 신용공여 . (주)하나은행의 유동성공여(한도 28억원) . (주)하나은행과의 이자율스왑계약
송도더스카이제일차,인천광역시,연수구,송도동,30-2번지에,공동주택,오피스텔.오피스.주상복합.공동주택.리테일,0,하나은행.하나은행.하나은행/하나은행과,은행.은행.은행/은행,매입.-.이자율,매입확약,1100,-, (주)하나은행의 유동화증권 매입보장 및 신용공여 . (주)하나은행의 유동성공여(한도 28억원) . (주)하나은행과의 이자율스왑계약
송도더스카이제일차,인천광역시,연수구,송도동,30-2번지에,공동주택,오피스텔.오피스.주상복합.공동주택.리테일,0,하나은행.하나은행.하나은행/하나은행과,은행.은행.은행/은행,매입.-.이자율,매입확약,1100,-, (주)하나은행의 유동화증권 매입보장 및 신용공여 . (주)하나은행의 유동성공여(한도 28억원) . (주)하나은행과의 이자율스왑계약
송도더스카이제일차,인천광역시,연수구,송도동,30-2번지에,공동주택,오피스텔.오피스.주상복합.공동주택.리테일,0,하나은행.하나은행.하나은행/하나은행과,은행.은행.은행/은행,매입.-.이자율,매입확약,1100,-, (주)하나은행의 유동화증권 매입보장 및 신용공여 . (주)하나은행의 유동성공여(한도 28억원) . (주)하나은행과의 이자율스왑계약
